Model Type,FS Method,Country,Train Loss,Validation Loss (MSE),Validation MAE,Validation RMSE,Validation MAPE,Num Features Selected,Average Abs SHAP (Train),Message
TCN,Lasso,Albania,0.5284386277198792,9311110.967538852,3051.4113074999987,3051.4113074999987,9.313095647289844,62,0.006456994497669485,Model trained successfully.
TCN,Lasso,Algeria,0.012544877827167511,5146.4898601216555,71.73904000000039,71.73904000000039,0.16516456395457338,62,0.005905761470156786,Model trained successfully.
TCN,Lasso,Angola,0.06687470525503159,5734.8180181380485,75.7285812500013,75.7285812500013,0.34770163809475346,62,0.0070202388290462854,Model trained successfully.
