Model Type,FS Method,Country,Train Loss,Validation Loss (MSE),Validation MAE,Validation RMSE,Validation MAPE,Num Features Selected,Average Abs SHAP (Train),Message
GRU,RandomForest,Albania,0.05200686678290367,291428.29988258856,539.8409949999987,539.8409949999987,1.647628036379723,40,0.006471480864490092,Model trained successfully.
GRU,RandomForest,Algeria,0.06699113547801971,994272.3326156922,997.1320537499996,997.1320537499996,2.2956939605373314,40,0.006602248548293777,Model trained successfully.
GRU,RandomForest,Angola,0.00640324829146266,534309.6987376038,730.9649093750013,730.9649093750013,3.3561660892658884,40,0.005201072189248652,Model trained successfully.
